ORACODE,DESCRIPTION,CAUSE,ACTION
ORA-1124,"cannot recover data file string - file is in use or recovery","An attempt to do media recovery found that the file was not available for recovery. Either it is online and the database is open in some instance, or another process is curently doing media recovery on the file.","Do not do media recovery."
ORA-01125,"cannot disable media recovery - file string has online backup set","An attempt to disable media recovery found that an online backup is still in progress.","End the backup of the offending tablespace and retry this command."
ORA-1125,"cannot disable media recovery - file string has online backup set","An attempt to disable media recovery found that an online backup is still in progress.","End the backup of the offending tablespace and retry this command."
ORA-01126,"database must be mounted in this instance and not open in any instance","Obvious","None"
ORA-1126,"database must be mounted in this instance and not open in any instance","Obvious","None"
ORA-01127,"database name 'string' exceeds size limit of string characters","Obvious","None"
ORA-1127,"database name 'string' exceeds size limit of string characters","Obvious","None"
ORA-01128,"cannot start online backup - file string is offline","An attempt to start an online backup found that one of the files is offline.","Bring the offending files online and retry this command or do a cold backup."
ORA-1128,"cannot start online backup - file string is offline","An attempt to start an online backup found that one of the files is offline.","Bring the offending files online and retry this command or do a cold backup."
ORA-01129,"user's default or temporary tablespace does not exist","The user's default or temporary tablespace was dropped.","Reassign the default or temporary tablespace."
ORA-1129,"user's default or temporary tablespace does not exist","The user's default or temporary tablespace was dropped.","Reassign the default or temporary tablespace."
ORA-01135,"file string accessed for DML/query is offline","Attempted to access a data file that is offline","Bring the data file back online"
ORA-1135,"file string accessed for DML/query is offline","Attempted to access a data file that is offline","Bring the data file back online"
ORA-01136,"specified size of file string (string blocks) is less than original size of string blocks","A file size was specified in the AS clause of ALTER DATABASE CREATE DATAFILE, and the size was smaller the the size needed","Create the file with a larger size."
ORA-1136,"specified size of file string (string blocks) is less than original size of string blocks","A file size was specified in the AS clause of ALTER DATABASE CREATE DATAFILE, and the size was smaller the the size needed","Create the file with a larger size."
ORA-01137,"data file string is still in the middle of going offline","It was not possible to get the lock for a file that is offline when attempting to bring it online. The most likely cause is that the lock is still held by the instance that is took it offline.","Wait a bit and try to online the file again."
ORA-1137,"data file string is still in the middle of going offline","It was not possible to get the lock for a file that is offline when attempting to bring it online. The most likely cause is that the lock is still held by the instance that is took it offline.","Wait a bit and try to online the file again."
